photo_id,cuteness,owner_id,dog_id
ph-1,0.8434561870825766,p-12,d-8
ph-2,0.20843864074738766,p-11,d-2
ph-3,0.7392385306441308,p-19,d-7
ph-4,0.39093516501099895,p-7,d-19
ph-5,0.4745010306107933,p-21,d-31
ph-6,0.6410718827182265,p-19,d-7
ph-7,0.5351739759216065,p-7,d-14
ph-8,0.5410617426817108,p-6,d-12
ph-9,0.6008242135650652,p-21,d-31
ph-10,0.07890416221259741,p-8,d-15
ph-11,0.5401564323494327,p-1,d-5
ph-12,0.5966021226912848,p-21,d-7
ph-13,0.36320893371970453,p-5,d-17
ph-14,0.3789090745389783,p-3,d-21
ph-15,0.6344960272907109,p-19,d-7
ph-16,0.1340486687538217,p-21,d-7
ph-17,0.8012284172008395,p-21,d-31
ph-18,0.1142498247679693,p-10,d-2
ph-19,0.22215262094795596,p-8,d-15
ph-20,0.5629059246808278,p-1,d-11
ph-21,0.20190833951467144,p-10,d-2
ph-22,0.2080334231606781,p-1,d-17
ph-23,0.25440012210206814,p-10,d-2
ph-24,0.47433239918321735,p-19,d-5
ph-25,0.7969808651145066,p-21,d-31
ph-26,0.184918436444066,p-1,d-5
ph-27,0.13025652599450466,p-6,d-12
ph-28,0.6451554929582719,p-19,d-7
ph-29,0.5775587488936047,p-12,d-3
ph-30,0.327110034678389,p-1,d-11
ph-31,0.047347113161073234,p-1,d-11
ph-32,0.49641110323557763,p-19,d-7
ph-33,0.16214343226008254,p-2,d-31
ph-34,0.6769570286957449,p-7,d-14
ph-35,0.30841406483206707,p-19,d-5
ph-36,0.5700944514960047,p-19,d-9
ph-37,0.12768093406412084,p-7,d-14
ph-38,0.20689066783040447,p-3,d-21
ph-39,0.5589506263387974,p-11,d-2
ph-40,0.38554547289097446,p-10,d-2
ph-41,0.1813790669543092,p-3,d-21
ph-42,0.22911905630226032,p-1,d-17
ph-43,0.44434826747085565,p-4,d-4
ph-44,0.7586306503362205,p-7,d-14
ph-45,0.3126424878570687,p-1,d-11
ph-46,0.1361077030007913,p-8,d-15
ph-47,0.6042320529143235,p-4,d-4
ph-48,0.8040073020090499,p-5,d-17
ph-49,0.4742725033829385,p-11,d-2
ph-50,0.4073139607605156,p-11,d-2
ph-51,0.37805863751312185,p-7,d-27
ph-52,0.3002554621870782,p-6,d-21
ph-53,0.6417693056629206,p-6,d-12
ph-54,0.47077496679538294,p-6,d-21
ph-55,0.6081188738364738,p-19,d-9
ph-56,0.0770389952659965,p-8,d-34
ph-57,0.5767118247713321,p-1,d-11
ph-58,0.5682353917564222,p-4,d-4
ph-59,0.5082664350379615,p-7,d-27
ph-60,0.1305595861837066,p-19,d-7
ph-61,0.15002767916467621,p-4,d-4
ph-62,0.504100185718507,p-1,d-15
ph-63,0.5532500509839944,p-6,d-12
ph-64,0.2924860305443999,p-1,d-15
ph-65,0.39471625531933846,p-19,d-5
ph-66,0.1307986923534716,p-21,d-36
ph-67,0.18269837624755692,p-19,d-5
ph-68,0.4856467489695031,p-8,d-34
ph-69,0.5672600111206949,p-5,d-17
ph-70,0.17638612308754842,p-6,d-21
ph-71,0.6261531420880799,p-12,d-8
ph-72,0.3234520852283176,p-1,d-11
ph-73,0.0948109762917491,p-3,d-21
ph-74,0.2937306588813603,p-8,d-34
ph-75,0.36080945271011733,p-2,d-31
ph-76,0.36558565167970425,p-2,d-31
ph-77,0.1281450252919067,p-5,d-17
ph-78,0.7662607557719863,p-21,d-7
ph-79,0.24778986384924312,p-1,d-11
ph-80,0.36462692672118985,p-7,d-21
ph-81,0.4362184870504933,p-21,d-31
ph-82,0.09434454542635692,p-2,d-31
ph-83,0.765695132512014,p-2,d-31
ph-84,0.6338840271838077,p-1,d-17
ph-85,0.20046158091977778,p-2,d-31
ph-86,0.3400502625430617,p-10,d-2
ph-87,0.24191034960312421,p-5,d-17
ph-88,0.19687327017068423,p-1,d-17
ph-89,0.48888678672271124,p-1,d-11
ph-90,0.14238563693764025,p-12,d-3
